"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","InformationSheet","consent","ideology","left_right","party","national_pride_1","national_pride_2","ac1","ft_trump","ft_biden","ft_anti_vaxxers","ft_climate_activists","ft_undoc_im","ft_doc_im","ft_unions","randomisation","transitionVignettes","TransitionControl","V1demxval","V2demxsec","V3repxval","V4repxsec","Control","integrvalues","geneq","sexconsent","integrlanguage","placebo_corporate_tax","ac2","pride_western_values","muslim1","muslim2","latino1","latino2","diversity","perceived_value_clash","mc1_party","mc1_party_other","mc2_latinos","mc2_muslims","mc2_western_europeans","mc2_africans","mc2_eastern_europeans","mc2_me_na","mc2_mexicans","mc2_americans","mc2_woman","mc2_asians","mc2_whites","mc2_blacks","mc2_men","mc2_other","mc3_threat","mc3_other","parents_born","residence","residence_other","education","education_other","employment_status","employment_status_other","household_income","race","race_other","gender","gender_other","debriefing","end","interviewtime","groupTime192","ProlificPIDTime","ProlificSessionIDTime","ProlificStudyIDTime","groupTime191","InformationSheetTime","consentTime","groupTime193","Q1Time","Q2Time","Q3Time","Q5Time","groupTime194","Q6Time","groupTime203","gleichungTime","groupTime202","transitionVignettesTime","TransitionControlTime","groupTime196","V1demxvalTime","V2demxsecTime","V3repxvalTime","V4repxsecTime","ControlTime","groupTime197","Q7Time","Q8Time","groupTime198","Q11Time","Q12Time","Q13Time","groupTime199","MC1Time","MC2Time","MC3Time","groupTime195","QD1Time","QD2Time","QD3Time","QD4Time","QD5Time","QD6Time","QD7Time","groupTime200","debriefingTime","endTime","prolific_submission_id","prolific_review_status","Custom study tncs accepted at","prolific_start","prolific_end","prolific_review_date","prolific_archived_date","duration","prolific_completion_code","prolific_total_approvals","prolific_political_spectrum","age","prolific_sex","ethnicity","country_of_birth","country_of_residence","nationality","language","student_status","prolific_employment_status","immigration","imm_pro_con","immigration_dichot","treatment","integration","genderpolicies","latino1_reversed","latino","muslim","left_right_collapsed","left_right_five","gender_extended","gender_collapsed","party_collapsed","party_collapsed_num","born_us","continent_of_birth","imm_background","race_collapsed","race_labelled","race_collapsed_label","merged_race","cohort_labelled","cohort_num","residence_collapsed","residence_collapsed_label","education_label","unemployed","household_income_label"
1509,2024-07-10 18:48:11,12,"en",1237359779,2024-07-10 18:42:46,2024-07-10 18:48:11,NA,"consent given",6,10,2,1,4,1,0,55,0,75,10,75,50,3,NA,NA,NA,NA,NA,NA,NA,2,8,6,7,0,1,2,4,2,1,3,6,2,"Democratic",NA,"Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,0,"2",NA,2,NA,"0",NA,1,"1",NA,"Men",NA,NA,NA,328.29,NA,NA,NA,NA,19.29,NA,NA,22.16,NA,NA,NA,NA,33.19,NA,NA,NA,3.13,NA,NA,17.76,NA,NA,NA,NA,NA,41.1,NA,NA,126.23,NA,NA,NA,28.69,NA,NA,NA,32.07,NA,NA,NA,NA,NA,NA,NA,4.67,NA,NA,"668eb9f51b59868cb5577666","AWAITING REVIEW","Not Applicable",2024-07-10 16:42:43.377,2024-07-10 16:48:13.099,NA,2024-07-10 16:48:57.340512,330,"CBDIKNY0",107,"Liberal","30","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)",42.5,2,0,"t1",4.5,7,5,4,3,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","High School Graduate",1,"Under $40,000 per year"
1510,2024-07-10 18:46:03,12,"en",703606498,2024-07-10 18:42:50,2024-07-10 18:46:03,NA,"consent given",7,16,2,3,4,1,6,23,1,93,62,82,89,2,NA,NA,NA,NA,NA,NA,NA,7,7,9,5,6,1,3,5,1,3,4,8,2,"No party stated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,"2",NA,0,"5",NA,6,NA,"1",NA,2,"6",NA,"Men",NA,NA,NA,196.01,NA,NA,NA,NA,10.93,NA,NA,25.2,NA,NA,NA,NA,24.28,NA,NA,NA,7.84,NA,NA,12.12,NA,NA,NA,NA,NA,28.97,NA,NA,37.28,NA,NA,NA,19.76,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,10.13,NA,NA,"668eba03558fd314361ac64a","AWAITING REVIEW","Not Applicable",2024-07-10 16:42:47.249,2024-07-10 16:46:05.453,NA,2024-07-10 16:46:06.238508,199,"CBDIKNY0",47,"Liberal","29","Male","Other","United States","United States","United States","English","Yes","Unemployed (and job seeking)",72,0,1,"t4",6,8,3,3.5,3,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,0,"Middle Eastern / North African","Non-white","Middle Eastern / North African","6 - 90s",2,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Between $40,000 and $79,999 per year"
1511,2024-07-10 18:49:53,12,"en",623076108,2024-07-10 18:43:00,2024-07-10 18:49:53,NA,"consent given",2,85,6,5,1,1,0,30,40,80,40,80,50,3,NA,NA,NA,NA,NA,NA,NA,3,7,5,10,3,1,4,5,4,1,4,4,0,"Republican",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,0,"4",NA,2,NA,"1",NA,1,"2",NA,"Men",NA,NA,NA,417.08,NA,NA,NA,NA,9.41,NA,NA,42.24,NA,NA,NA,NA,57.32,NA,NA,NA,4.09,NA,NA,99.7,NA,NA,NA,NA,NA,69.56,NA,NA,60.74,NA,NA,NA,30.86,NA,NA,NA,34.29,NA,NA,NA,NA,NA,NA,NA,8.87,NA,NA,"668eb9ed90e4b5a8316867cc","AWAITING REVIEW","Not Applicable",2024-07-10 16:42:57.685,2024-07-10 16:49:58.987,NA,2024-07-10 16:50:22.298034,422,"CBDIKNY0",364,"Conservative","39","Male","Black","United States","United States","United States","English","No","Full-Time",60,0,1,"t1",6.5,6,5,4.5,4.5,"Right-leaning","strong_right","Male","Male","Republican",3,1,"North America (US)",0,0,"Black","Non-white","Black","5 - 80s",3,1,"Larger city or suburb to a larger city ","High School Graduate",0,"Under $40,000 per year"
1512,2024-07-10 18:47:35,12,"en",763592663,2024-07-10 18:43:05,2024-07-10 18:47:35,NA,"consent given",2,80,4,5,1,1,1,65,35,40,5,40,51,5,NA,NA,NA,NA,NA,NA,NA,7,6,6,5,4,1,5,2,4,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,2,NA,"1",NA,1,"1",NA,"Women",NA,NA,NA,271.87,NA,NA,NA,NA,25.08,NA,NA,39.18,NA,NA,NA,NA,63.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.47,NA,NA,60.83,NA,NA,NA,NA,NA,NA,NA,24.29,NA,NA,NA,NA,NA,NA,NA,8.15,NA,NA,"668eba0870ad1129cba02af3","AWAITING REVIEW","Not Applicable",2024-07-10 16:42:58.589,2024-07-10 16:47:39.983,NA,2024-07-10 16:48:01.136139,282,"CBDIKNY0",5625,"Conservative","69","Female","White","United States","United States","United States","English","No","Full-Time",22.5,2,0,"control",6,6,4,3,3,"Right-leaning","slight_right","Female","Other","Independent",2,1,"North America (US)",0,1,"White","White","White","2 - 1950s",6,0,"Other","High School Graduate",0,"Under $40,000 per year"
1514,2024-07-10 18:48:06,12,"en",1970844702,2024-07-10 18:43:18,2024-07-10 18:48:06,NA,"consent given",6,25,3,4,4,1,0,70,0,80,75,75,80,4,NA,NA,NA,NA,NA,NA,NA,6,10,10,4,5,1,4,5,1,2,4,5,0,"Republican",NA,"Y",NA,NA,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,2,"5",NA,5,NA,"1",NA,2,"3",NA,"Men",NA,NA,NA,291.71,NA,NA,NA,NA,9.37,NA,NA,22.25,NA,NA,NA,NA,39.58,NA,NA,NA,3.83,NA,NA,38.16,NA,NA,NA,NA,NA,37.94,NA,NA,38.72,NA,NA,NA,51.25,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,11.62,NA,NA,"668eb9f520318a4197fbfa4c","AWAITING REVIEW","Not Applicable",2024-07-10 16:43:04.206,2024-07-10 16:48:10.829,NA,2024-07-10 16:48:53.160181,307,"CBDIKNY0",1956,"Liberal","35","Male","White","United States","United States","United States","Spanish","DATA_EXPIRED","DATA_EXPIRED",75,0,1,"t2",5,10,4,4,3,"Left-leaning","slight_left","Male","Male","Democratic",1,1,"North America (US)",1,0,"Hispanic / Latino","Non-white","Hispanic / Latino","5 - 80s",3,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
1515,2024-07-10 18:48:53,12,"en",1799586163,2024-07-10 18:43:24,2024-07-10 18:48:53,NA,"consent given",5,25,4,4,2,1,0,14,0,66,50,100,100,5,NA,NA,NA,NA,NA,NA,NA,9,9,10,9,5,1,4,3,4,3,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,4,NA,"1",NA,1,"2",NA,"Women",NA,NA,NA,331.41,NA,NA,NA,NA,9.52,NA,NA,51.07,NA,NA,NA,NA,48.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.59,NA,NA,114.17,NA,NA,NA,NA,NA,NA,NA,31.27,NA,NA,NA,NA,NA,NA,NA,5.88,NA,NA,"668eba23ed8495cb44027e9b","AWAITING REVIEW","Not Applicable",2024-07-10 16:43:21.17,2024-07-10 16:48:57.36,NA,2024-07-10 16:49:29.053231,337,"CBDIKNY0",100,"Liberal","58","Female","Black","United States","United States","United States","English","No","Full-Time",75,0,1,"control",9,9.5,3,3,3.5,"Left-leaning","slight_left","Female","Other","Independent",2,1,"North America (US)",0,0,"Black","Non-white","Black","3 - 60s",5,0,"Other","2-Year College Degree",0,"Under $40,000 per year"
1516,2024-07-10 18:49:02,12,"en",1235236960,2024-07-10 18:43:41,2024-07-10 18:49:02,NA,"consent given",6,10,2,1,5,1,0,30,10,80,75,100,85,3,NA,NA,NA,NA,NA,NA,NA,5,10,10,2,5,1,2,3,3,3,3,1,6,"Republican",NA,NA,"Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,0,"3",NA,5,NA,"1",NA,5,"4",NA,"Women",NA,NA,NA,326.06,NA,NA,NA,NA,5.22,NA,NA,32.92,NA,NA,NA,NA,71.69,NA,NA,NA,3.66,NA,NA,15.31,NA,NA,NA,NA,NA,38.59,NA,NA,77.67,NA,NA,NA,41.58,NA,NA,NA,31.08,NA,NA,NA,NA,NA,NA,NA,8.34,NA,NA,"668eba2f21177c2775e9b119","AWAITING REVIEW","Not Applicable",2024-07-10 16:43:37.308,2024-07-10 16:49:04.117,NA,2024-07-10 16:49:32.458166,327,"CBDIKNY0",168,"Liberal","22","Female","Asian","United States","United States","United States","English","Yes","Part-Time",87.5,0,1,"t1",3.5,10,3,3,3,"Left-leaning","strong_left","Female","Other","Democratic",1,1,"North America (US)",0,0,"Asian","Non-white","Asian","7 - 2000+",1,0,"Other","4-Year College Degree",0,"Above $200,000 per year"
1518,2024-07-10 18:48:19,12,"en",569209586,2024-07-10 18:44:05,2024-07-10 18:48:19,NA,"consent given",6,35,3,4,4,1,0,55,15,90,50,60,80,4,NA,NA,NA,NA,NA,NA,NA,6,7,5,5,0,1,4,4,3,1,4,6,3,"Republican",NA,"Y",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"Y",NA,"2",NA,0,"1",NA,5,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,257.77,NA,NA,NA,NA,7.22,NA,NA,21.79,NA,NA,NA,NA,33.71,NA,NA,NA,4.53,NA,NA,24.27,NA,NA,NA,NA,NA,45,NA,NA,46.11,NA,NA,NA,49.05,NA,NA,NA,16.61,NA,NA,NA,NA,NA,NA,NA,9.48,NA,NA,"668eba4c845ef46a5289cbc3","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:02.39,2024-07-10 16:48:22.801,NA,2024-07-10 16:49:08.096806,261,"CBDIKNY0",5421,"Liberal","38","Male","White","United States","United States","United States","English","No","Part-Time",55,0,1,"t2",5.5,6,5,4.5,3.5,"Left-leaning","slight_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
1519,2024-07-10 18:47:16,12,"en",920746501,2024-07-10 18:44:05,2024-07-10 18:47:16,NA,"consent given",7,0,1,1,5,1,0,20,0,100,50,50,66,1,NA,NA,NA,NA,NA,NA,NA,10,7,10,5,0,1,1,5,4,3,3,8,5,"Democratic",NA,"Y",NA,NA,NA,NA,NA,NA,NA,"Y",NA,"Y",NA,"Y",NA,"1",NA,0,"5",NA,3,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,197.21,NA,NA,NA,NA,7.46,NA,NA,15,NA,NA,NA,NA,25.89,NA,NA,NA,3.71,NA,NA,9.83,NA,NA,NA,NA,NA,31.79,NA,NA,41.67,NA,NA,NA,36.61,NA,NA,NA,19.75,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,"668eba4ee667abdb1f42d0a8","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:02.577,2024-07-10 16:47:19.029,NA,2024-07-10 16:47:32.676943,197,"CBDIKNY0",2792,"Liberal","38","Male","White","United States","United States","United States","English","No","Part-Time",50,1,NA,"t3",7.5,8.5,3,3,4.5,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,1,"Larger city or suburb to a larger city ","Some College",0,"Between $40,000 and $79,999 per year"
1520,2024-07-10 18:48:28,12,"en",1077474038,2024-07-10 18:44:14,2024-07-10 18:48:28,NA,"consent given",5,25,3,3,2,1,20,70,25,60,50,85,60,3,NA,NA,NA,NA,NA,NA,NA,1,6,6,3,1,1,4,4,2,2,3,3,2,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,"Y",NA,"1",NA,0,"4",NA,5,NA,"0",NA,1,"1",NA,"Women",NA,NA,NA,258.96,NA,NA,NA,NA,10.52,NA,NA,25.93,NA,NA,NA,NA,63.4,NA,NA,NA,3.03,NA,NA,22.81,NA,NA,NA,NA,NA,38.01,NA,NA,36.64,NA,NA,NA,27.86,NA,NA,NA,23.94,NA,NA,NA,NA,NA,NA,NA,6.82,NA,NA,"668eba51cb3c043e9cb16b8e","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:10.374,2024-07-10 16:48:32.423,NA,2024-07-10 16:49:13.854834,263,"CBDIKNY0",58,"Liberal","36","Female","Other","United States","United States","United States","English","No","Unemployed (and job seeking)",67.5,0,1,"t1",2,6,4,3.5,3,"Left-leaning","slight_left","Female","Other","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,1,"Larger city or suburb to a larger city ","4-Year College Degree",1,"Under $40,000 per year"
1521,2024-07-10 18:48:24,12,"en",1261614146,2024-07-10 18:44:17,2024-07-10 18:48:24,NA,"consent given",7,10,4,1,5,1,0,0,0,90,50,50,90,2,NA,NA,NA,NA,NA,NA,NA,2,10,10,0,0,1,1,3,3,2,3,8,1,"Democratic",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"2",NA,0,"4",NA,2,NA,"0",NA,1,"1",NA,"Women",NA,NA,NA,253.08,NA,NA,NA,NA,13.28,NA,NA,26.8,NA,NA,NA,NA,32.97,NA,NA,NA,3.66,NA,NA,21.58,NA,NA,NA,NA,NA,39.85,NA,NA,52.82,NA,NA,NA,20.78,NA,NA,NA,30.44,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,"668eba55724c91cf6a426a85","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:12.862,2024-07-10 16:48:27.637,NA,2024-07-10 16:49:10.629511,255,"CBDIKNY0",259,"Liberal","21","Female","White","United States","United States","United States","English","No","Other",50,1,NA,"t4",1,10,4,3.5,3,"Left-leaning","strong_left","Female","Other","Independent",2,1,"North America (US)",0,1,"White","White","White","7 - 2000+",1,1,"Larger city or suburb to a larger city ","High School Graduate",1,"Under $40,000 per year"
1522,2024-07-10 18:48:34,12,"en",944937588,2024-07-10 18:44:23,2024-07-10 18:48:34,NA,"consent given",2,81,5,5,2,1,89,1,50,8,42,80,49,2,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,5,1,4,4,2,2,4,6,3,"Democratic",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,0,"2",NA,3,NA,"1",NA,1,"1",NA,"Women",NA,NA,NA,255.1,NA,NA,NA,NA,9.36,NA,NA,44.98,NA,NA,NA,NA,21.95,NA,NA,NA,4.16,NA,NA,28.85,NA,NA,NA,NA,NA,46.22,NA,NA,34.78,NA,NA,NA,16.94,NA,NA,NA,39.23,NA,NA,NA,NA,NA,NA,NA,8.63,NA,NA,"668eba5c8309b43e8d0d72bf","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:19.287,2024-07-10 16:49:15.741,NA,2024-07-10 16:49:42.745433,297,"NOCODE",1907,"Conservative","29","Female","White","United States","United States","United States","English","No","Part-Time",61,0,1,"t4",5.5,5.5,4,4,3,"Right-leaning","strong_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","Some College",0,"Under $40,000 per year"
1523,2024-07-10 18:48:45,12,"en",346245204,2024-07-10 18:44:26,2024-07-10 18:48:45,NA,"consent given",6,13,NA,3,4,1,0,25,0,61,41,88,62,3,NA,NA,NA,NA,NA,NA,NA,6,8,8,4,2,1,3,5,2,2,4,6,2,"Republican",NA,NA,"Y",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"Y",NA,"1",NA,0,"4",NA,6,NA,"1",NA,1,"1",NA,"Women",NA,NA,NA,263.98,NA,NA,NA,NA,12.21,NA,NA,23.93,NA,NA,NA,NA,36.11,NA,NA,NA,4.51,NA,NA,27.68,NA,NA,NA,NA,NA,44.17,NA,NA,50.62,NA,NA,NA,30.44,NA,NA,NA,24.85,NA,NA,NA,NA,NA,NA,NA,9.46,NA,NA,"668eba5eb10571fe7a3f3142","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:22.489,2024-07-10 16:48:51.512,NA,2024-07-10 16:49:25.774351,270,"CBDIKNY0",255,"Liberal","55","Female","White","United States","United States","United States","English","No","Part-Time",64.5,0,1,"t1",5,8,4,4,3.5,"Left-leaning","strong_left","Female","Other",NA,NA,1,"North America (US)",0,1,"White","White","White","3 - 60s",5,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Under $40,000 per year"
1524,2024-07-10 18:50:01,12,"en",480678967,2024-07-10 18:44:26,2024-07-10 18:50:01,NA,"consent given",5,18,3,4,4,1,8,8,18,75,69,84,85,1,NA,NA,NA,NA,NA,NA,NA,6,9,8,3,2,1,4,4,3,3,4,5,4,"Democratic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"1",NA,0,"3",NA,2,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,338.66,NA,NA,NA,NA,10.45,NA,NA,47.01,NA,NA,NA,NA,32.85,NA,NA,NA,7.04,NA,NA,39.6,NA,NA,NA,NA,NA,49.8,NA,NA,79.66,NA,NA,NA,35.84,NA,NA,NA,28.29,NA,NA,NA,NA,NA,NA,NA,8.12,NA,NA,"668eba60cb0b4738eaa35ddc","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:21.247,2024-07-10 16:50:04.122,NA,2024-07-10 16:50:24.9019,343,"CBDIKNY0",2991,"Liberal","42","Male","Other","United States","United States","United States","English","No","Full-Time",76.5,0,1,"t3",4.5,8.5,3,3.5,3.5,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","5 - 80s",3,0,"Other","High School Graduate",0,"Between $40,000 and $79,999 per year"
1525,2024-07-10 19:06:46,12,"en",2042836185,2024-07-10 18:44:55,2024-07-10 19:06:46,NA,"consent given",6,11,2,5,1,1,33,100,50,85,14,82,77,4,NA,NA,NA,NA,NA,NA,NA,10,10,9,10,9,1,5,3,2,4,3,4,9,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"2",NA,2,"4",NA,6,NA,"1",NA,4,"2",NA,"Men",NA,NA,NA,1313.31,NA,NA,NA,NA,337.32,NA,NA,40.45,NA,NA,NA,NA,481.19,NA,NA,NA,10.61,NA,NA,58,NA,NA,NA,NA,NA,58.03,NA,NA,196.77,NA,NA,NA,61.85,NA,NA,NA,59.2,NA,NA,NA,NA,NA,NA,NA,9.89,NA,NA,"668eba57ebe9b12adf6e7837","AWAITING REVIEW","Not Applicable",2024-07-10 16:44:32.191,2024-07-10 17:06:59.031,NA,2024-07-10 17:06:59.675025,1347,"CBDIKNY0",180,"Liberal","39","Male","Black","Nigeria","United States","United States","English","No","Full-Time",48,2,0,"t2",10,9.5,2,2.5,2.5,"Left-leaning","strong_left","Male","Male","Democratic",1,0,"Africa",1,0,"Black","Non-white","Black","5 - 80s",3,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",0,"Between $120,000 and $199,999 per year"
1526,2024-07-10 18:51:53,12,"en",477479199,2024-07-10 18:45:06,2024-07-10 18:51:53,NA,"consent given",6,2,1,5,4,1,0,99,0,80,63,99,100,1,NA,NA,NA,NA,NA,NA,NA,5,9,7,0,2,1,5,4,4,1,4,6,5,"Democratic",NA,NA,"Y",NA,NA,"Y","Y",NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"4",NA,5,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,411.51,NA,NA,NA,NA,30.23,NA,NA,57.72,NA,NA,NA,NA,36.03,NA,NA,NA,4.33,NA,NA,33.38,NA,NA,NA,NA,NA,38.35,NA,NA,128.16,NA,NA,NA,39.46,NA,NA,NA,28.94,NA,NA,NA,NA,NA,NA,NA,14.91,NA,NA,"668eba823bd5d74d17de9f44","AWAITING REVIEW","Not Applicable",2024-07-10 16:45:01.083,2024-07-10 16:51:57.517,NA,2024-07-10 16:52:45.82016,417,"CBDIKNY0",65,"Liberal","51","Male","White","United States","United States","United States","English","No","Part-Time",81,0,1,"t3",2.5,8,5,4.5,4,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $40,000 and $79,999 per year"
1527,2024-07-10 18:48:40,12,"en",1244142876,2024-07-10 18:45:08,2024-07-10 18:48:40,NA,"consent given",1,100,7,5,1,1,93,20,61,77,25,79,69,4,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,1,5,4,3,4,4,0,6,"Republican",NA,"Y","Y",NA,NA,NA,NA,"Y",NA,NA,NA,NA,"Y",NA,NA,"2",NA,0,"4",NA,5,NA,"1",NA,3,"2",NA,"Men",NA,NA,NA,185.3,NA,NA,NA,NA,6.8,NA,NA,24.04,NA,NA,NA,NA,41.34,NA,NA,NA,8.75,NA,NA,21.59,NA,NA,NA,NA,NA,19.81,NA,NA,19.99,NA,NA,NA,15.64,NA,NA,NA,21.19,NA,NA,NA,NA,NA,NA,NA,6.15,NA,NA,"668eba55f56b93ef61e2d3fb","AWAITING REVIEW","Not Applicable",2024-07-10 16:45:01.493,2024-07-10 16:49:02.6,NA,2024-07-10 16:49:32.391313,242,"CBDIKNY0",287,"Conservative","25","Male","Black","United States","United States","United States","English","No","Full-Time",52,0,1,"t2",10,10,2,3,3.5,"Right-leaning","strong_right","Male","Male","Republican",3,1,"North America (US)",0,0,"Black","Non-white","Black","6 - 90s",2,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
1528,2024-07-10 18:47:56,12,"en",192759793,2024-07-10 18:45:13,2024-07-10 18:47:56,NA,"consent given",6,12,1,NA,3,NA,0,93,0,98,58,64,87,5,NA,NA,NA,NA,NA,NA,NA,2,9,9,2,1,1,4,5,1,1,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,3,NA,"0",NA,1,"1",NA,"Men",NA,NA,NA,166.96,NA,NA,NA,NA,8.36,NA,NA,22.88,NA,NA,NA,NA,21.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.75,NA,NA,58.4,NA,NA,NA,NA,NA,NA,NA,26.05,NA,NA,NA,NA,NA,NA,NA,5.34,NA,NA,"668eba9071caf817fa3b4332","AWAITING REVIEW","Not Applicable",2024-07-10 16:45:09.385,2024-07-10 16:47:58.457,NA,2024-07-10 16:48:32.395298,170,"CBDIKNY0",2695,"Liberal","65","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",61,0,1,"control",2,9,5,5,3,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","2 - 1950s",6,0,"Other","Some College",1,"Under $40,000 per year"
1529,2024-07-10 18:50:22,12,"en",2022307392,2024-07-10 18:45:19,2024-07-10 18:50:22,NA,"consent given",1,99,7,4,2,1,99,1,97,5,6,90,31,1,NA,NA,NA,NA,NA,NA,NA,3,2,6,8,3,1,3,3,4,4,3,8,8,"Democratic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"1",NA,0,"3",NA,5,NA,"1",NA,4,"1",NA,"Women",NA,NA,NA,306.42,NA,NA,NA,NA,9.74,NA,NA,27.82,NA,NA,NA,NA,40.06,NA,NA,NA,4.03,NA,NA,36.2,NA,NA,NA,NA,NA,39.79,NA,NA,49.59,NA,NA,NA,67.87,NA,NA,NA,21.96,NA,NA,NA,NA,NA,NA,NA,9.36,NA,NA,"668eba915ebe09e8a7cb4616","AWAITING REVIEW","Not Applicable",2024-07-10 16:45:14.401,2024-07-10 16:50:27.301,NA,2024-07-10 16:50:35.850114,313,"CBDIKNY0",469,"Conservative","47","Female","White","United States","United States","United States","English","No","Full-Time",48,2,0,"t3",5.5,4,2,2.5,3.5,"Right-leaning","strong_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,0,"Other","4-Year College Degree",0,"Between $120,000 and $199,999 per year"
1530,2024-07-10 18:50:29,12,"en",1219351378,2024-07-10 18:45:49,2024-07-10 18:50:29,NA,"consent given",7,0,1,3,4,1,0,83,0,26,41,100,100,2,NA,NA,NA,NA,NA,NA,NA,7,6,10,5,0,1,4,5,1,1,5,6,2,"Democratic",NA,"Y","Y",NA,NA,NA,NA,"Y",NA,NA,NA,"Y",NA,NA,NA,"2",NA,0,"4",NA,6,NA,NA,NA,4,"1",NA,"Men",NA,NA,NA,283.62,NA,NA,NA,NA,7.45,NA,NA,46.89,NA,NA,NA,NA,38.08,NA,NA,NA,4.37,NA,NA,23.16,NA,NA,NA,NA,NA,42.91,NA,NA,56.38,NA,NA,NA,30.27,NA,NA,NA,29.31,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,"668eba84bbb599bf8376c607","AWAITING REVIEW","Not Applicable",2024-07-10 16:45:45.166,2024-07-10 16:50:35.936,NA,2024-07-10 16:50:40.960072,291,"CBDIKNY0",316,"Liberal","33","Male","White","United States","United States","United States","English","No","Full-Time",70.5,0,1,"t4",6,8,5,5,3,"Left-leaning","strong_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,1,"Larger city or suburb to a larger city ","Post Graduate (e.g., masters, PhD, JD)",NA,"Between $120,000 and $199,999 per year"
